City,Zip_Codes,Lat,Lon,Rest_Count
Dallas,75249,32.64,-96.97,0
Dallas,75251,32.917,-96.773,48
Dallas,75252,33.0,-96.79,27
Dallas,75253,32.67,-96.61,3
Dallas,75254,32.95,-96.8,27
Dallas,75260,,,348
Dallas,75270,32.7813,-96.8017,356
Dallas,75287,33.0,-96.84,52
Dallas,75342,,,6
Dallas,75398,,,348
Princeton,75407,33.1,-96.5,0
Anna,75409,33.3,-96.5,0
Blue Ridge,75424,33.31,-96.39,0
Farmersville,75442,33.2,-96.3,0
Melissa,75454,33.28,-96.56,7
Arlington,76001,32.63,-97.15,0
Arlington,76002,32.62,-97.09,1
Arlington,76005,,,0
Arlington,76006,32.78,-97.1,14
Arlington,76010,32.72,-97.08,24
Arlington,76011,32.76,-97.08,39
Arlington,76012,32.76,-97.15,5
Arlington,76013,32.72,-97.16,41
Arlington,76014,32.69,-97.09,10
Arlington,76015,32.69,-97.13,60
Arlington,76016,32.69,-97.19,17
Arlington,76017,32.66,-97.17,4
Arlington,76018,32.66,-97.09,9
Azle,76020,32.9,-97.6,1
Bedford,76021,32.85,-97.13,35
Bedford,76022,32.83,-97.14,32
Colleyville,76034,32.89,-97.14,39
Crowley,76036,32.58,-97.41,0
Euless,76039,32.86,-97.09,9
Euless,76040,32.81,-97.1,2
Grapevine,76051,32.94,-97.07,30
Haslet,76052,32.98,-97.39,0
Hurst,76053,32.82,-97.17,17
Hurst,76054,32.86,-97.18,48
Kennedale,76060,32.64,-97.21,23
Mansfield,76063,32.57,-97.13,33
Southlake,76092,32.96,-97.15,1
Fort Worth,76102,32.76,-97.33,87
Fort Worth,76103,32.75,-97.27,5
Fort Worth,76104,32.73,-97.32,42
Fort Worth,76105,32.72,-97.27,20
Fort Worth,76106,32.81,-97.36,6
Fort Worth,76107,32.74,-97.38,35
Fort Worth,76108,32.78,-97.51,0
Fort Worth,76109,32.7,-97.39,32
Fort Worth,76110,32.71,-97.34,32
Fort Worth,76111,32.78,-97.3,56
Fort Worth,76112,32.75,-97.23,17
Fort Worth,76114,32.78,-97.39,38
Fort Worth,76115,32.68,-97.33,43
Fort Worth,76116,32.72,-97.46,21
Haltom City,76117,32.8,-97.26,43
Fort Worth,76118,32.8,-97.19,5
Fort Worth,76119,32.7,-97.26,4
Fort Worth,76120,32.76,-97.17,21
Fort Worth,76123,32.62,-97.39,9
Fort Worth,76126,32.6,-97.5,0
Naval Air Station JRB,76127,32.78,-97.42,3
Fort Worth,76131,32.88,-97.35,5
Fort Worth,76132,32.66,-97.42,49
Fort Worth,76133,32.66,-97.38,16
Fort Worth,76134,32.64,-97.33,13
Fort Worth,76135,32.84,-97.47,2
Fort Worth,76137,32.85,-97.29,34
Fort Worth,76140,32.62,-97.27,4
Fort Worth,76148,32.87,-97.25,42
Fort Worth,76155,32.81,-97.05,24
Fort Worth,76164,32.78,-97.36,50
Fort Worth,76177,32.97,-97.29,9
Fort Worth,76179,32.9,-97.4,0
North Richland Hills,76180,32.84,-97.22,40
North Richland Hills,76182,32.89,-97.21,2
Denton,76201,33.22,-97.15,65
Denton,76205,33.19,-97.13,28
Denton,76207,33.2,-97.2,36
Denton,76208,33.21,-97.07,0
Denton,76209,33.23,-97.11,5
Denton,76210,33.15,-97.1,8
Argyle,76226,33.12,-97.17,0
Aubrey,76227,33.3,-97.0,3
Keller,76244,32.93,-97.28,8
Justin,76247,33.1,-97.3,0
Keller,76248,32.93,-97.22,29
Krum,76249,33.3,-97.3,0
Pilot Point,76258,33.4,-96.9,0
Ponder,76259,33.21,-97.3,0
Roanoke,76262,33.01,-97.23,31
Sanger,76266,33.4,-97.2,0
